train,test,model,median,p95,max,mean,n
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,svm,7.369,11.4,14.79,7.254,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,mlp_deep,7.405,11.865,14.885,7.418,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,poly3,6.517,11.037,30.439,6.532,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,svm,6.443,10.955,30.285,6.469,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,mlp_deep,6.506,11.193,29.855,6.642,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,poly3,6.356,9.85,13.676,6.181,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,svm,6.26,9.983,13.033,6.098,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,mlp_deep,6.475,9.849,12.579,6.306,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,poly3,6.298,9.811,13.69,6.189,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,svm,6.228,9.865,12.852,6.105,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,mlp_deep,6.426,9.896,12.878,6.31,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,poly3,4.54,8.92,13.198,4.741,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,svm,4.495,8.863,13.467,4.656,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,mlp_deep,4.731,8.985,12.859,4.87,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,poly3,3.005,6.811,27.419,3.426,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,svm,2.718,5.073,10.355,2.844,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,mlp_deep,2.94,6.26,9.667,3.257,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,poly3,5.011,10.478,26.083,5.466,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,svm,5.123,8.458,11.394,5.092,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,mlp_deep,5.187,9.424,12.875,5.373,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,poly3,2.933,6.912,25.776,3.369,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,svm,2.738,5.074,10.526,2.835,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,mlp_deep,2.901,6.171,11.738,3.181,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,poly3,6.56,9.699,26.562,6.388,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,svm,6.274,8.646,10.425,5.969,1485
