SAMPLE_ID,INK_1,INK_2,INK_3,INK_4,INK_5,XYZ_X,XYZ_Y,XYZ_Z,LAB_L,LAB_A,LAB_B
924,34.87,56.41,1.6,0.53,0.16,32.5869550458,25.5371676718,42.0245075549,57.5950997977,31.0485065515,-32.8325963771
925,29.96,55.46,15.15,4.32,0.0,31.8872778636,25.4347011677,32.8993993386,57.4965357331,28.9627273242,-20.4869774625
926,26.96,55.29,29.87,5.68,0.0,31.7905672221,25.7719825454,26.4448966414,57.8199815088,27.2186615901,-9.59396491006
927,23.33,56.05,43.4,5.19,2.61,31.7424610085,26.0028598612,20.2149156456,58.0397643274,26.0970073511,2.50857475497
928,15.72,57.91,54.16,3.95,9.53,31.885960877,26.2024164421,15.0232696761,58.2286856723,25.8021484663,14.6234569364
929,9.28,59.21,66.33,3.64,13.84,31.9259635005,26.2548700523,10.3661464409,58.2781845078,25.7333196248,27.8969658619
930,3.2,60.8,78.97,2.41,18.08,32.4932524318,26.8006248413,6.67268074852,58.7893276643,25.5668407536,42.4582031729
931,0.26,61.97,93.23,0.49,20.22,33.1563324687,27.2479963129,3.54550285962,59.2031755892,26.1338269864,59.6087980976
932,28.06,65.5,0.0,0.0,0.0,34.1437522645,23.5766256252,38.8458567407,55.6613862358,44.8434541755,-32.0335737482
933,19.26,63.88,8.94,4.02,0.0,36.1173261332,25.3948414691,33.5773993664,57.4581225771,43.7870456815,-21.5575539522
934,15.86,63.82,24.28,5.26,0.0,35.84886109,25.6846272178,26.7294849877,57.7364816809,41.6919907622,-10.227156869
935,14.34,64.15,40.2,4.86,0.0,35.39912275,25.6658221917,20.2341495058,57.7184818738,40.2597970535,1.9149611759
936,10.72,65.03,54.08,3.84,2.71,35.5727932556,26.1812283049,14.8093372315,58.2086723566,38.731429054,15.1295964645
937,4.92,66.53,66.59,1.96,7.8,35.7745650976,26.6006588525,10.168500796,58.6028559932,37.7090799899,29.0974554182
938,2.03,66.93,80.87,1.7,8.81,36.1149316308,26.7954429871,6.0749876821,58.7845072249,38.0619053404,45.1134393014
939,0.12,67.49,95.44,0.29,9.92,36.3794207086,27.1084394226,3.04211559695,59.0745656407,37.6893372559,62.872941628
940,9.13,71.77,3.37,2.38,0.29,40.6013319035,25.9534845085,33.9517269204,57.9928713339,55.8195672633,-21.1842956015
941,5.69,71.87,19.45,2.89,0.42,40.8163658312,26.6945273945,27.3308198545,58.6905059549,53.4729518139,-9.60471624166
942,4.3,72.18,36.15,2.23,0.19,40.7649838812,26.9784800847,21.2943188027,58.9544028919,52.1778677438,1.89659707312
943,3.08,72.44,52.18,1.62,0.0,40.3175648024,26.9335610254,15.0448230592,58.9127801911,50.9793347104,15.7487462979
944,0.9,72.87,67.02,0.49,1.0,40.5290781695,27.2873031172,10.0942285189,59.2393198524,50.224509273,30.4377222312
