SAMPLE_ID,INK_1,INK_2,INK_3,INK_4,INK_5,INK_6,INK_7,XYZ_X,XYZ_Y,XYZ_Z,LAB_L,LAB_A,LAB_B
1415,70.2,0.0,100.0,0.0,0.0,0.0,70.2,4.46802,5.08977,2.93371,26.989,-5.706,8.348
1416,0.0,0.0,100.0,0.0,100.0,100.0,40.0,5.08086,4.24802,0.622531,24.475,12.992,30.445
1417,0.0,0.0,0.0,0.0,0.0,0.0,85.1,13.7208,8.60128,28.4318,35.205,40.329,-51.942
1418,100.0,100.0,100.0,0.0,0.0,0.0,70.2,1.28801,1.1198,1.13663,9.952,6.775,-3.203
1419,100.0,100.0,100.0,40.0,0.0,100.0,0.0,0.714957,0.980034,0.690144,8.824,-9.164,2.184
1420,70.2,40.0,70.2,0.0,70.2,0.0,0.0,11.9823,9.14396,2.33523,36.26,24.255,29.149
1421,40.0,0.0,0.0,0.0,0.0,0.0,40.0,24.0408,23.0794,45.2454,55.154,8.002,-41.035
1422,40.0,40.0,20.0,0.0,0.0,0.0,40.0,15.5871,12.855,20.501,42.544,20.031,-24.806
1423,100.0,70.2,20.0,0.0,100.0,0.0,0.0,5.20529,3.63299,1.48686,22.419,23.372,13.801
1424,0.0,40.0,0.0,0.0,0.0,0.0,70.2,15.5196,9.86166,22.6225,37.593,40.978,-37.538
1425,40.0,100.0,100.0,0.0,0.0,0.0,40.0,8.13397,4.71977,1.48745,25.921,38.594,19.832
1426,0.0,0.0,100.0,0.0,0.0,0.0,0.0,66.9784,71.3794,6.92192,87.669,-4.031,91.18
1427,0.0,0.0,70.2,0.0,0.0,100.0,0.0,9.92011,23.5565,7.45921,55.641,-74.508,33.75
1428,0.0,100.0,20.0,0.0,0.0,0.0,40.0,17.4976,9.11302,8.03132,36.201,58.074,-2.006
1429,0.0,40.0,0.0,20.0,0.0,0.0,100.0,4.90164,2.66847,9.72024,18.664,35.809,-38.286
1430,70.2,0.0,0.0,0.0,0.0,100.0,20.0,5.44561,11.9553,15.9666,41.145,-54.479,-17.165
1431,100.0,0.0,100.0,0.0,0.0,20.0,0.0,5.82002,14.5303,4.85905,44.984,-66.727,27.327
1432,100.0,20.0,100.0,0.0,0.0,0.0,100.0,1.09836,1.0658,1.78321,9.528,2.468,-11.7
1433,100.0,0.0,20.0,0.0,0.0,0.0,70.2,5.10527,4.56478,18.7333,25.457,9.059,-50.543
1434,0.0,0.0,1.2,0.0,0.0,0.0,0.0,81.7224,84.0219,73.0327,93.46,1.371,-3.32
1435,40.0,40.0,0.0,40.0,0.0,0.0,0.0,12.4544,11.4913,15.6763,40.396,9.662,-17.751
1436,70.2,20.0,40.0,0.0,0.0,70.2,0.0,7.26485,14.1751,12.3918,44.483,-49.521,-2.037
1437,40.0,20.0,100.0,0.0,0.0,0.0,40.0,13.9544,14.1878,3.5733,44.501,1.733,34.072
